time,heartRate,distance,height
476.031,161,2048.7570668616,-45.9850768751
476.4215,161,2048.7570668616,-45.9850768751
476.7425,161,2048.7570668616,-45.9850768751
477.084,161,2048.7570668616,-46.0603305901
479.2045,157,2048.7570668616,-46.622502928
479.497,157,2048.7570668616,-46.622502928
479.9105,157,2048.7570668616,-46.622502928
480.581,159,2048.7570668616,-46.9563772177
480.893,159,2048.7570668616,-46.9563772177
481.2455,157,2048.900490788,-47.0253006928
482.6695,156,2048.900490788,-46.8248522583
483.313,158,2048.900490788,-47.3269145788
485.031,157,2048.900490788,-47.4584332069
485.371,157,2048.900490788,-47.7676219106
487.065,157,2048.9470553692,-48.2354974063
487.7595,157,2048.9470553692,-48.2354974063
489.481,155,2048.9470553692,-48.2291749044
491.199,155,2048.962163268,-48.5206382594
491.53,155,2048.962163268,-48.5206382594
493.231,154,2048.962163268,-49.1635991138
493.901,154,2048.962163268,-49.1635991138
494.241,154,2048.962163268,-49.5359545818
494.581,154,2048.962163268,-49.5359545818
495.263,156,2048.962163268,-49.647216115
495.603,156,2048.962163268,-49.647216115
495.944,156,2048.962163268,-49.647216115
496.2865,153,2048.9744023232,-49.9285254927
496.9605,153,2048.9744023232,-49.9285254927
498.001,153,2048.9744023232,-49.8596212007
499.026,158,2048.9744023232,-50.215516455
499.416,158,2048.9744023232,-50.193391882
500.0575,158,2048.9744023232,-50.193391882
500.1685,158,2048.9744023232,-50.193391882
501.441,157,2048.9795161645,-50.6851784605
501.7725,157,2048.9795161645,-50.6851784605
503.4715,155,2048.9795161645,-50.2256305298
504.1445,155,2048.9795161645,-50.2256305298
505.8385,155,2048.9795161645,-50.3514235166
506.5125,155,2048.9795161645,-50.6143828497
507.196,155,2048.9795161645,-50.6143828497
508.218,155,2048.9795161645,-50.5088206447
508.5595,154,2048.9795161645,-50.1244893397
508.931,154,2048.9795161645,-50.1244893397
509.231,154,2048.9795161645,-50.1244893397
510.271,152,2048.9795161645,-50.120696526
510.621,155,2048.9795161645,-50.3166567624
512.358,155,2048.9795161645,-50.3210816285
513.0395,155,2048.9795161645,-50.4746865295
513.371,155,2048.9795161645,-50.4746865295
513.691,162,2048.9795161645,-50.5859380493
515.4305,161,2048.9795161645,-50.7091982908
516.101,161,2048.9795161645,-50.754077299
516.491,161,2048.9795161645,-50.754077299
517.124,162,2048.9795161645,-50.6226002221
520.229,152,2048.9795161645,-51.0189227251
520.581,152,2048.9795161645,-51.0189227251
521.245,158,2048.9795161645,-51.2414129688
522.721,157,2048.9795161645,-51.0751778089
523.033,154,2048.9795161645,-50.9942715253
524.3645,158,2048.9795161645,-51.1358571096
524.6865,158,2048.9795161645,-51.1358571096
525.0895,158,2048.9795161645,-51.423446911
525.381,158,2048.9795161645,-51.423446911
525.721,158,2048.9795161645,-51.423446911
526.072,154,2048.9795161645,-51.0998288174
526.465,154,2048.9795161645,-51.0998288174
527.439,151,2048.9795161645,-51.0328285044
